year,dairyCowCount,totalMilkProduction,dairyRationCost,averageMilkPrice,numberOfPlants,volumeProcessed,totalMilkConsumed
2008,9314.00,189978.00,9.17,18.30,400,137.9,55170
2009,9202.00,189202.00,7.27,12.80,392,141.4,55433
2010,9123.00,192877.00,7.20,16.30,404,135.8,54870
2011,9199.00,196255.00,10.76,20.10,388,139.0,53938
2012,9237.00,200642.00,12.15,18.50,399,133.0,53083
2013,9224.00,201260.00,11.71,20.10,414,125.4,51923
2014,9261.00,206048.00,9.51,24.00,440,114.5,50368
2015,9320.00,208508.00,8.04,17.10,456,108.9,49648
2016,9334.00,212451.00,7.26,16.30,445,110.9,49349
2017,9406.00,215527.00,7.30,17.70,444,108.7,48269
2018,9398.00,217584.00,7.95,16.30,458,103.1,47235
2019,9335.00,218444.00,8.32,18.70,445,104.3,46417
2020,9396.00,223282.00,7.92,18.10,453,102.4,46366
2021,9449.00,226238.00,10.63,18.50,466,95.5,44517
2022,9400.00,226416.00,13.32,25.30,463,93.8,43448
2023,9386.00,226364.00,12.13,20.50,453,94.5,42823
